App Name,Category,Free,Currency,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
REDMOND  Robot,Lifestyle,TRUE,USD,4.1 and up,Grit Technology,,info@redmond.company,"Jul 1, 2020","May 26, 2021",Everyone,https://redmond.company/upload/policy_redmond_robot_cleaner.pdf,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Contemporary Love Wallpaper HD,Books & Reference,TRUE,XXX,4.2 and up,Human Droid Apps,,farukabdillah4@gmail.com,"Dec 26, 2020","Mar 23, 2021",Mature 17+,https://docs.google.com/document/d/1oK4CCJ6gbqyFI1eHtV78HzIpD9kkqW0nphZlkwBuGNc/edit?usp=sharing,TRUE,FALSE,FALSE,2021-06-15 20:19:36
Nepali Congress,Social,TRUE,USD,5.0 and up,Nitya Shree Developers,https://nepalicongress.org,info@nepalicongress.org,"May 31, 2021","May 31, 2021",Everyone,https://nepalicongress.org/page/privacy-policy,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Bhavan's BHEL VIM,Medical,TRUE,USD,4.0.3 and up,"Bhavans, BHEL, Hyderabad",http://www.bhavansbhelhyd.com/,cheboulu.uma@gmail.com,"Dec 25, 2017","Dec 26, 2017",Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:36
Block Fill: Puzzle Game,Puzzle,TRUE,USD,5.0 and up,MailBee Games,http://mailbeegames.net,mailbeegames@gmail.com,"Mar 13, 2020","May 11, 2020",Everyone,http://www.addictinggames.com/legal/privacy-policy.jsp,TRUE,TRUE,FALSE,2021-06-15 20:19:36
Coloring Book Barbaie,Entertainment,TRUE,USD,5.0 and up,bisgumah,https://appsabsadstxt.blogspot.com/,bisgumah418@gmail.com,"Apr 21, 2019","Nov 13, 2020",Everyone,https://docs.google.com/document/d/1kUDGpRA8fFBpy6x_L3tuC-C0po_ONPcSu1qRKVv3gNg/edit?usp=sharing,TRUE,FALSE,FALSE,2021-06-15 20:19:36
Random Number Generator,Tools,TRUE,USD,5.0 and up,GaryG Apps,,garygapps@gmail.com,"May 28, 2017","May 30, 2020",Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Sticky Ball,Arcade,TRUE,USD,4.1 and up,Mitochondria Studios,,family@mitochondriastudios.com,"Mar 5, 2018","Mar 26, 2018",Everyone,https://mitochondriastudios.com/privacypolicy/,TRUE,TRUE,FALSE,2021-06-15 20:19:37
CUBIC RUNNER,Arcade,TRUE,USD,4.0 and up,GA software,http://ga-software.blogspot.jp/,gasoftwarejp@gmail.com,"Apr 1, 2015","Apr 16, 2015",Everyone,,TRUE,TRUE,FALSE,2021-06-15 20:19:37
Dj Car Sound And Sound Effects 2019,Entertainment,TRUE,USD,4.0.3 and up,TenSept Tools,,naveedgul802@gmail.com,"May 17, 2019","May 17, 2019",Everyone,https://www.hamootech.com/privacy_policy.php,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Schoolbus*,Maps & Navigation,TRUE,USD,2.1 and up,Forumloft,http://forumloft.com,mail@forumloft.com,"Dec 15, 2013","Dec 15, 2013",Everyone,http://forumloft.com/privacy_policy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Cambodian.Express,Auto & Vehicles,TRUE,USD,4.1 and up,CCIT.TMS,,heidi.lei@cambodianexpress.com,"Dec 4, 2019","May 11, 2020",Everyone,https://www.cambodianexpress.com,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Barnets Hair,Lifestyle,TRUE,USD,5.0 and up,Phorest,,deploy@phorest.com,"Feb 8, 2018","Oct 23, 2020",Everyone,https://zanadoo.me/pages/privacy,FALSE,FALSE,FALSE,2021-06-15 20:19:37
GaiaZOO,Travel & Local,TRUE,USD,4.4 and up,Myler Media,http://www.gaiazoo.nl,info@GaiaZOO.nl,"Oct 13, 2016","Jun 29, 2020",Everyone,https://www.gaiazoo.nl/privacy-verklaring/,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Photo Brightness Editor - Image Brighten App,Photography,TRUE,XXX,4.4 and up,Anuoluwapo,https://spobam.com,bajiodunamis@gmail.com,"Nov 13, 2020","Nov 14, 2020",Everyone,https://spobam.com/image-brightness-privacy-policy/,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Creepy Story,Entertainment,TRUE,USD,4.1 and up,AL Hidayah Corporation,,andizulmai@gmail.com,"May 28, 2019","May 30, 2019",Teen,http://hidayah.club/creepystory_privacy_policy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Vancouver Bus Tracker,Maps & Navigation,TRUE,USD,4.0 and up,Beyond 2.0,http://www.Beyond20.ca,contact@bustracker.ca,"Nov 6, 2013","Jun 06, 2017",Everyone,https://www.VancouverBusTracker.com/privacy.aspx,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Serbia Audio Guide,Travel & Local,TRUE,USD,4.1 and up,NTO Serbia,http://www.tos.org.rs,admin@serbia.travel,"Feb 14, 2017","Dec 28, 2020",Everyone,http://www.tos.org.rs/tos.html,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Head Lice guide,Health & Fitness,TRUE,USD,4.1 and up,Free Apps For Everyone,https://w17cdeb7b.app-ads-txt.com/app-ads.txt,free.apps.for.everyone80@gmail.com,"Sep 27, 2017","May 29, 2020",Everyone,https://sites.google.com/view/anna-lauret-privacy-policy/accueil,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Calculus Tutorial 1: Introduction,Education,TRUE,USD,4.1 and up,RaySemiSoft,,raysemisoft@gmail.com,"Jun 18, 2020","Jun 01, 2021",Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Business Class Fitness,Health & Fitness,TRUE,USD,7.0 and up,BH App Development Ltd,,svankuren@businessclass.fitness,"Apr 5, 2020","Nov 29, 2020",Everyone,https://www.ptdistinction.com/app_privacy_policy.php?uid=344789,FALSE,FALSE,FALSE,2021-06-15 20:19:37
"Sudan Flag Wallpaper: Flags, Country HD Images",Personalization,TRUE,USD,5.0 and up,TZLabs,https://toolsfairy.com,tzlabs4u@gmail.com,"Jan 10, 2021","Jan 10, 2021",Teen,https://toolsfairy.com/privacy-policy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:37
BuradaOto,Shopping,TRUE,USD,4.0.3 and up,Buradaoto,https://www.buradaoto.com/,Buradaoto@gmail.com,"Aug 29, 2019","Sep 01, 2019",Everyone,https://www.buradaoto.com/gizlilik-politikasi-15,FALSE,FALSE,FALSE,2021-06-15 20:19:37
MoveNow User,Travel & Local,TRUE,USD,4.1 and up,MoveNowApp,,MoveNowApp2020@gmail.com,"Feb 21, 2021","Mar 04, 2021",Everyone,https://movenow-api.ondemandcreations.com/api/v1/admin/termsandconditions,FALSE,FALSE,FALSE,2021-06-15 20:19:37
Niagara Falls Wallpapers,Personalization,TRUE,USD,4.1 and up,Legend APPS,,legendapplication@gmail.com,"May 30, 2020","May 30, 2020",Teen,,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Extrude Balance,Arcade,TRUE,USD,5.0 and up,Creators Bureau,,creatorsbureau@gmail.com,"Jul 8, 2019","May 01, 2021",Everyone,https://unity3d.com/legal/privacy-policy,TRUE,TRUE,FALSE,2021-06-15 20:19:37
1-Click Hotspot,Tools,TRUE,USD,4.1 and up,Limonland Apps,https://uc294d7b9.app-ads-txt.com,enrasoftapps@gmail.com,"Jun 28, 2013","Jan 14, 2020",Everyone,http://enrasoftapps.blogspot.com.es/2013/09/terms-and-conditions-of-use.html,TRUE,FALSE,FALSE,2021-06-15 20:19:37
Psychrometry Calculator,Tools,TRUE,USD,4.0.3 and up,MEPPEDIA,http://Meppedia.com,info@mepa2z.com,"Sep 2, 2019","Aug 16, 2020",Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Bounce & Bubble,Board,TRUE,USD,2.2 and up,Kossta Tech Systems,http://www.kosstatech.com,ajishnair@kosstatech.com,"Jul 15, 2016","Jul 18, 2016",Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Radio Louvor,Music & Audio,TRUE,USD,5.0 and up,Hoost,,apps@hoost.com.br,"Feb 12, 2020","Feb 11, 2021",Everyone,https://www.hoost.com.br/politica-de-privacidade-para-os-aplicativos-android-e-ios/,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Peribahasa Bahasa Indonesia,Books & Reference,TRUE,USD,4.1 and up,Irwana Studio,https://irwanastudio.com,irwankayen@gmail.com,"Jun 19, 2015","Apr 22, 2020",Everyone,https://irwanastudio.blogspot.com/p/1.html,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Bowling Paradise Pro FREE,Sports,TRUE,USD,2.1 and up,InnoLab,http://www.innolab-au.com,support@innolab-au.com,"Apr 27, 2013","Mar 21, 2015",Everyone,,TRUE,TRUE,FALSE,2021-06-15 20:19:38
ACtrainingLanzarote,Sports,TRUE,USD,4.4 and up,MaiTai Group,,info@actlanzarote.com,"Mar 7, 2019","Mar 07, 2019",Everyone,http://panel.idnapps.com/application/privacypolicy?id=actlanzarote,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Camelia Estetica & Solarium,Beauty,TRUE,USD,5.0 and up,I Grandi Soft,https://www.igrandisoft.it,info@igrandisoft.it,"Aug 26, 2020","Dec 01, 2020",Everyone,https://sites.google.com/view/camelia-privacy-policy/,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Kamesh Welding,Business,TRUE,USD,4.1 and up,Vizyoner DanéÒè?manléÒk ve Ajans,https://www.kameshwelding.com,info@kameshwelding.com,"Jun 21, 2018","Jul 02, 2018",Everyone,https://www.kameshwelding.com/gizlilikpolitikasi_tr.html,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Coachman Training Systems,Health & Fitness,TRUE,USD,6.0 and up,TRAINERIZE,https://coachmantrainingsystems.trainerize.com,help@trainerize.com,"Jan 28, 2018","May 30, 2021",Everyone,http://www.trainerize.com/privacy.aspx,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Chemistry Mission,Educational,TRUE,USD,4.4 and up,Crow Academy,https://crow.academy,pablo.triangle@gmail.com,"Jun 26, 2020","Jun 26, 2020",Everyone,https://crow.academy/privacy-policy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Vé¯OP,Finance,TRUE,USD,2.1 and up,Financial Developer,,synahmet10@gmail.com,"Jul 5, 2017","Apr 11, 2020",Teen,,FALSE,FALSE,FALSE,2021-06-15 20:19:38
Video To Mp3 Converter & Audio-Video Cutter,Tools,TRUE,USD,4.4 and up,Gatto Creations,https://waytomodernapps.blogspot.com/,waytomoderna000@gmail.com,"Jul 3, 2019","Sep 06, 2019",Everyone,https://waytomodernapps.blogspot.com/2019/06/way-to-modern-apps.html,TRUE,FALSE,FALSE,2021-06-15 20:19:38
Dua e Nudba - Offline,Books & Reference,TRUE,USD,4.1 and up,5tan Library,,glowingappss@gmail.com,"Jun 15, 2017","Jul 24, 2020",Everyone,https://5tan-library.flycricket.io/privacy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:38
shyftfly,Business,TRUE,USD,4.4 and up,Symphony Software,http://www.symphony-software.com,rohit@symphony-software.com,"Feb 15, 2018","Oct 22, 2020",Everyone,https://shyftfly.com/,FALSE,FALSE,FALSE,2021-06-15 20:19:38
physical fitness exercise,Health & Fitness,TRUE,USD,2.3 and up,IkhfaStudio,,nemomanx@gmail.com,"Jan 27, 2018","Jan 27, 2018",Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:39
PowerSwitch,Lifestyle,TRUE,USD,4.0 and up,Markus Ressel,http://power-switch.eu,contact@power-switch.eu,"Oct 24, 2015","Apr 16, 2016",Everyone,https://github.com/Power-Switch/PowerSwitch_Android/blob/master/PRIVACY_POLICY.md,FALSE,TRUE,FALSE,2021-06-15 20:19:39
Learn Electrical Engineering,Books & Reference,TRUE,USD,4.0.3 and up,SuperSimpleVideo,http://www.GoLearningBus.com,Team@simpleNeasyApp.com,"Apr 14, 2012","May 16, 2020",Everyone,http://golearningbus.com/tou.html,TRUE,TRUE,FALSE,2021-06-15 20:19:39
Radio Estado de Mexico - FM Stations Free,Music & Audio,TRUE,USD,4.2 and up,"Radio.app: FM AM Radio Stations, Music and News",https://radio-app-fm-stations.blogspot.com,radio.stations.new@gmail.com,"Sep 10, 2018","Mar 28, 2019",Teen,http://tappller.com/radio-station-free-new/privacy_policy.php,TRUE,FALSE,FALSE,2021-06-15 20:19:39
op.se,News & Magazines,TRUE,USD,4.1 and up,Bonnier News Local AB,https://www.op.se/app,digitalsupport@mittmedia.se,"Nov 23, 2015","Dec 21, 2020",Everyone,https://www.op.se/info/mittmedias-personuppgiftspolicy,TRUE,FALSE,FALSE,2021-06-15 20:19:39
Racepak D3 Racing,Auto & Vehicles,TRUE,USD,4.3 and up,Racepak,http://www.racepak.com,support@racepak.com,"Aug 16, 2017","Nov 14, 2019",Everyone,https://www.iubenda.com/privacy-policy/85879598,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Maulid AL BARZANJI,Books & Reference,TRUE,USD,2.3 and up,DJANOKO STUDIO,https://djanokostudio.blogspot.com/ads.txt,qurotuluyun75@gmail.com,"Oct 6, 2019","Oct 07, 2019",Everyone,https://docs.google.com/document/d/1I2g1LT63SarTEQt0wOjlxMZIofrl-lM59ggbVHEZXXo/edit?usp=sharing,TRUE,FALSE,FALSE,2021-06-15 20:19:39
ChurchManagement (PLMT),Productivity,TRUE,USD,5.0 and up,KBZ Production,,ekombrza@gmail.com,,"May 03, 2020",Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:39
RACE ACADEMY,Education,TRUE,XXX,4.2 and up,Education Mine Media,,support@classplus.co,"Jan 9, 2021","May 18, 2021",Everyone,https://bit.ly/2YDTip0,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Pick Lock,Arcade,TRUE,USD,4.1 and up,Blue Drop Games,,bluedropgame@gmail.com,"May 13, 2020","May 13, 2020",Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Coffin Move,Casual,TRUE,USD,5.0 and up,Reha Studio,,rehagamestudio@gmail.com,"May 14, 2021","May 24, 2021",Everyone,https://rehayazilim.blogspot.com/p/privacy-policy-coffin-move.html,TRUE,FALSE,FALSE,2021-06-15 20:19:39
Jenifa spells 2,Puzzle,TRUE,USD,4.1 and up,bellotech solutions,http://www.jenifasgames.com,bellotechsolutions@gmail.com,"Feb 13, 2020","Feb 17, 2020",Everyone,https://jenifasgames.com/privacy_policy.php,TRUE,TRUE,FALSE,2021-06-15 20:19:39
Flashlight,Productivity,TRUE,USD,2.3 and up,Ufuk Mobil Uygulama At??lyesi,http://ufukbagci.com,ufkbagci@gmail.com,"Feb 7, 2017","Feb 08, 2017",Everyone,http://blog.goodbarber.com/docs/Privacypolicy/PrivacyPolicy.pdf,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Triple Point Academy,Education,TRUE,USD,4.2 and up,Education Hive Media,,support@classplus.co,"Oct 15, 2020","Jun 13, 2021",Everyone,https://bit.ly/33pSGFX,FALSE,FALSE,FALSE,2021-06-15 20:19:39
Ü?çë?? ?üè?ü??ü??üç????üÆ??Ò??õ???????ü???Ê?ü??ü? tekara Ü?™Ü¨è??õ?ü??ü¶,Lifestyle,TRUE,USD,4.0 and up,????ü¨?üõ?üü?ü?Ç??á?ß,http://www.e-motto.net/lp,emottodeveloper@gmail.com,"Nov 12, 2017","Sep 19, 2019",Everyone,http://apas.jp/privacy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:39
ApkExtractor,Tools,TRUE,USD,4.1 and up,DailyAppTech,,dailyapptech@gmail.com,"Oct 28, 2018","Feb 22, 2020",Everyone,https://lokeshjoshiapp.blogspot.com/2018/10/privacy-policy.html,TRUE,FALSE,FALSE,2021-06-15 20:19:40
The Battle at the Alamo 3D Viewer,Education,TRUE,USD,4.4 and up,High Score Studios,http://www.highscorestudios.com,info@highscorestudios.com,"Sep 20, 2019","Feb 29, 2020",Everyone 10+,http://www.highscorestudios.com/thebattleatthealamo3dviewer/privacypolicy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:40
"Flyers, Posters, Banner, Graphic Maker, Designs",Art & Design,TRUE,USD,4.1 and up,Black Art Tech Solutions,https://f60de654b.app-ads-txt.com,yaanasolutions602@gmail.com,"Nov 8, 2020","Nov 08, 2020",Everyone,https://yaanacreations.blogspot.com/p/privacy-policy-black-art-tech-solutions.html,TRUE,FALSE,FALSE,2021-06-15 20:19:40
à˝´ç≠¯ç?™ â??°?? - ç??â??çÒ?,Finance,TRUE,USD,7.0 and up,HS App,,devwlstn@gmail.com,"May 3, 2016","Apr 16, 2021",Everyone,http://blog.naver.com/ringoai0923/220777107423,TRUE,FALSE,FALSE,2021-06-15 20:19:40
Scale Hero,Arcade,TRUE,USD,5.1 and up,Sifo-Dyas,,info@sifodyasgames.com,"Mar 19, 2021","Mar 19, 2021",Everyone,https://sifodyasgames.com/policy,TRUE,FALSE,FALSE,2021-06-15 20:19:40
Trevor Sorbie,Beauty,TRUE,USD,5.0 and up,The Grooming Company LLC,https://trevorsorbie.com/,hello@trevorsorbie.com,"Dec 13, 2020","Apr 15, 2021",Everyone,http://www.tgcapps.com/trevorsorbie/docs/privacy.php,FALSE,FALSE,FALSE,2021-06-15 20:19:40
K??ln Zeitungen,News & Magazines,TRUE,USD,4.2 and up,Alles Web.eu,https://www.allesweb.eu/,info@allesweb.eu,"Jun 1, 2018","Oct 09, 2018",Everyone,https://www.allesweb.eu/erklaerung-zum-datenschutz.html,TRUE,FALSE,FALSE,2021-06-15 20:19:40
San Vito Lo Capo,Travel & Local,TRUE,USD,,wwwinternet.it,http://wwwinternet.it,wapumts@gmail.com,"Apr 30, 2014","Mar 12, 2019",Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:40
?????? | Awon,House & Home,TRUE,USD,4.4 and up,Excellent Protection,https://own.irc.sa/,awon.crm@irc.sa,"Jan 7, 2019","Jun 15, 2021",Everyone,http://www.mediafire.com/file/gwwzoywys6b0tqz/IRC_privacy_policy.html/file,FALSE,FALSE,FALSE,2021-06-15 20:19:40
GO SMS PRO CRYSTAL THEME,Personalization,TRUE,USD,1.6 and up,ZT.art,,yuxin.cpp@gmail.com,"Jul 13, 2015","Jul 13, 2015",Everyone,http://d2prafqgniatg5.cloudfront.net/soft/file/term/1122/gosmstheme-privacy.html,FALSE,FALSE,FALSE,2021-06-15 20:19:40
"Daily Mindfulness - Calm, Sleep, Relax, Meditation",Health & Fitness,TRUE,USD,5.1 and up,PartyGames,,devmobi85730@gmail.com,"Apr 22, 2019","Apr 23, 2019",Teen,https://firebasestorage.googleapis.com/v0/b/fir-demo-8cdba.appspot.com/o/DEVMOBISOFT_PRIVACY_POLICY.htm?alt=media&token=3b402b2b-f7f4-4e06-8648-09396a4fe228,TRUE,FALSE,FALSE,2021-06-15 20:19:40
ACE Auto Club Europa,Maps & Navigation,TRUE,USD,5.0 and up,Auto Club Europa e. V.,https://www.ace.de/,digitales-marketing@ace.de,"Oct 31, 2014","Jun 02, 2021",Everyone,https://www.ace.de/datenschutz-app,FALSE,FALSE,FALSE,2021-06-15 20:19:40
Space wallpapers 4K 2021,Photography,TRUE,USD,4.1 and up,Star Align,https://deb73bc5e.app-ads-txt.com/,Hosoalkhateeb@gmail.com,"Jan 2, 2021","Mar 07, 2021",Everyone,,TRUE,FALSE,FALSE,2021-06-15 20:19:40
HOMEVIZ,Tools,TRUE,USD,5.0 and up,Cnest,,akaso20160903@gmail.com,"Sep 21, 2020","May 21, 2021",Everyone,https://www.akasotech.com/privacy,FALSE,FALSE,FALSE,2021-06-15 20:19:40
KURS.IF.UA,News & Magazines,TRUE,USD,2.3 and up,IF-city,http://kurs.if.ua/,editor@pravda.if.ua,"Jul 18, 2015","Jul 18, 2015",Teen,,TRUE,FALSE,FALSE,2021-06-15 20:19:40
Delhi Public Transport - Metro and DTC Bus Routes,Travel & Local,TRUE,USD,4.1 and up,Social Tech Network,https://www.delhipublictransport.com/,delhipublictransport@gmail.com,"Jul 24, 2019","Sep 16, 2019",Everyone,https://www.termsfeed.com/privacy-policy/d8a54453fb5aa586d31586f56857d9fc,TRUE,FALSE,FALSE,2021-06-15 20:19:40
Weinfest+ Weinfestkalender,Travel & Local,TRUE,USD,3.0 and up,brainstation GbR,http://www.weinfestplus.de,mike@brainstation.de,"Jan 20, 2014","Aug 28, 2017",Everyone,https://www.weinfestplus.de/datenschutz,TRUE,FALSE,FALSE,2021-06-15 20:19:40
Decon2018,Health & Fitness,TRUE,USD,4.0.3 and up,Raja Cement Works,,thirurmnd@gmail.com,"Apr 13, 2018","Apr 14, 2018",Everyone,,FALSE,FALSE,FALSE,2021-06-15 20:19:40
Car Games Revival: Car Racing Games for Kids,Racing,TRUE,USD,4.4 and up,Abstron Pvt Ltd,http://www.abstron.com,info.abstron@gmail.com,"Nov 9, 2016","Jun 12, 2021",Everyone,http://www.abstron.com/legal/privacy.html,TRUE,TRUE,FALSE,2021-06-15 20:19:40
Pocket Bowling 3D,Sports,TRUE,USD,4.0.3 and up,Chameleo Studios,http://chameleostudios.com,hello@chameleostudios.com,"Mar 22, 2013","Jun 21, 2019",Everyone,http://chameleostudios.com/privacy-policy/,TRUE,TRUE,FALSE,2021-06-15 20:19:40
Ambuja Bidding,Business,TRUE,USD,4.2 and up,Gujarat Ambuja Exports Ltd.,https://www.ambujagroup.com/,vijay@ambujagroup.com,"Mar 31, 2019","May 01, 2019",Everyone,https://www.ambujagroup.com/wp-content/uploads/2016/09/Private-Policy.pdf,FALSE,FALSE,FALSE,2021-06-15 20:19:40
Home Theater Remote Pro,Tools,TRUE,USD,4.0 and up,Igor Silakov,http://hts.uxp.ru/#/hts,kaluganin514@gmail.com,"Jun 4, 2016","Jan 07, 2018",Everyone,http://hts.uxp.ru/#/hts/policy,FALSE,FALSE,FALSE,2021-06-15 20:19:41
